
çm:	repeticiones 0		P= 0.0	I= 0 bits
çn:	repeticiones 0		P= 0.0	I= 0 bits
ço:	repeticiones 83		P= 0.0008190331461727469	I= 10.253790540807216 bits
çp:	repeticiones 0		P= 0.0	I= 0 bits
çq:	repeticiones 0		P= 0.0	I= 0 bits
çr:	repeticiones 0		P= 0.0	I= 0 bits
çs:	repeticiones 0		P= 0.0	I= 0 bits
çt:	repeticiones 0		P= 0.0	I= 0 bits
çu:	repeticiones 0		P= 0.0	I= 0 bits
çv:	repeticiones 0		P= 0.0	I= 0 bits
çw:	repeticiones 0		P= 0.0	I= 0 bits
çx:	repeticiones 0		P= 0.0	I= 0 bits
çy:	repeticiones 0		P= 0.0	I= 0 bits
çz:	repeticiones 0		P= 0.0	I= 0 bits
ç&:	repeticiones 0		P= 0.0	I= 0 bits
da:	repeticiones 732		P= 0.007223280277089768	I= 7.113130133870099 bits
db:	repeticiones 0		P= 0.0	I= 0 bits
dc:	repeticiones 0		P= 0.0	I= 0 bits
dç:	repeticiones 0		P= 0.0	I= 0 bits
dd:	repeticiones 0		P= 0.0	I= 0 bits
de:	repeticiones 1392		P= 0.013736073969547756	I= 6.185886476305413 bits
df:	repeticiones 0		P= 0.0	I= 0 bits
dg:	repeticiones 0		P= 0.0	I= 0 bits
dh:	repeticiones 0		P= 0.0	I= 0 bits
di:	repeticiones 543		P= 0.0053582529924313445	I= 7.54402158434978 bits
dj:	repeticiones 0		P= 0.0	I= 0 bits
dk:	repeticiones 0		P= 0.0	I= 0 bits
dl:	repeticiones 0		P= 0.0	I= 0 bits
dm:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
dn:	repeticiones 0		P= 0.0	I= 0 bits
do:	repeticiones 1220		P= 0.01203880046181628	I= 6.376164539703892 bits
dp:	repeticiones 0		P= 0.0	I= 0 bits
dq:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
dr:	repeticiones 52		P= 0.0005131292000118415	I= 10.928390254013049 bits
ds:	repeticiones 0		P= 0.0	I= 0 bits
dt:	repeticiones 0		P= 0.0	I= 0 bits
du:	repeticiones 80		P= 0.000789429538479756	I= 10.306901877266778 bits
dv:	repeticiones 0		P= 0.0	I= 0 bits
dw:	repeticiones 0		P= 0.0	I= 0 bits
dx:	repeticiones 0		P= 0.0	I= 0 bits
dy:	repeticiones 0		P= 0.0	I= 0 bits
dz:	repeticiones 0		P= 0.0	I= 0 bits
d&:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
ea:	repeticiones 62		P= 0.000611807892321811	I= 10.674633661767267 bits
eb:	repeticiones 40		P= 0.000394714769239878	I= 11.306901877266778 bits
ec:	repeticiones 344		P= 0.003394547015462951	I= 8.202565217452044 bits
eç:	repeticiones 63		P= 0.0006216757615528079	I= 10.651550048654224 bits
ed:	repeticiones 268		P= 0.0026445889539071826	I= 8.56274078169637 bits
ee:	repeticiones 41		P= 0.000404582638470875	I= 11.271277967536058 bits
ef:	repeticiones 66		P= 0.0006512793692457987	I= 10.584435852795687 bits
eg:	repeticiones 334		P= 0.0032958683231529818	I= 8.245125679680088 bits
eh:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
ei:	repeticiones 402		P= 0.003966883430860774	I= 7.977778280975213 bits
ej:	repeticiones 45		P= 0.00044405411539486276	I= 11.136976875824466 bits
ek:	repeticiones 0		P= 0.0	I= 0 bits
el:	repeticiones 460		P= 0.004539219846258598	I= 7.783339921209766 bits
em:	repeticiones 780		P= 0.007696938000177621	I= 7.02149965840453 bits
en:	repeticiones 1114		P= 0.010992806323330603	I= 6.507296454814109 bits
eo:	repeticiones 18		P= 0.00017762164615794512	I= 12.45890497071183 bits
ep:	repeticiones 131		P= 0.0012926908692606006	I= 9.595406970616692 bits
eq:	repeticiones 34		P= 0.0003355075538538963	I= 11.541367130903803 bits
er:	repeticiones 1279		P= 0.0126210047464451	I= 6.3080294232725045 bits
es:	repeticiones 1372		P= 0.013538716584927817	I= 6.206765205981329 bits
et:	repeticiones 99		P= 0.000976919053868698	I= 9.999473352074531 bits
eu:	repeticiones 243		P= 0.002397892223132259	I= 8.70401746854836 bits
ev:	repeticiones 161		P= 0.0015887269461905091	I= 9.297913094039524 bits
ew:	repeticiones 0		P= 0.0	I= 0 bits
ex:	repeticiones 79		P= 0.0007795616692487591	I= 10.325049223977038 bits
ey:	repeticiones 0		P= 0.0	I= 0 bits
ez:	repeticiones 95		P= 0.0009374475769447103	I= 10.058974363823193 bits
e&:	repeticiones 3383		P= 0.033383001608462685	I= 4.904742510360153 bits
fa:	repeticiones 151		P= 0.0014900482538805395	I= 9.390425232829063 bits
fb:	repeticiones 0		P= 0.0	I= 0 bits
fc:	repeticiones 0		P= 0.0	I= 0 bits
fç:	repeticiones 0		P= 0.0	I= 0 bits
fd:	repeticiones 0		P= 0.0	I= 0 bits
fe:	repeticiones 144		P= 0.001420973169263561	I= 9.45890497071183 bits
ff:	repeticiones 0		P= 0.0	I= 0 bits
fg:	repeticiones 0		P= 0.0	I= 0 bits
fh:	repeticiones 0		P= 0.0	I= 0 bits
fi:	repeticiones 180		P= 0.001776216461579451	I= 9.136976875824466 bits
fj:	repeticiones 0		P= 0.0	I= 0 bits
fk:	repeticiones 0		P= 0.0	I= 0 bits
fl:	repeticiones 17		P= 0.00016775377692694816	I= 12.541367130903803 bits
fm:	repeticiones 0		P= 0.0	I= 0 bits
fn:	repeticiones 0		P= 0.0	I= 0 bits
fo:	repeticiones 203		P= 0.0020031774538923812	I= 8.963494054968965 bits
fp:	repeticiones 0		P= 0.0	I= 0 bits
fq:	repeticiones 0		P= 0.0	I= 0 bits
fr:	repeticiones 39		P= 0.00038484690000888106	I= 11.343427753291893 bits
fs:	repeticiones 0		P= 0.0	I= 0 bits
ft:	repeticiones 11		P= 0.00010854656154096646	I= 13.169398353516844 bits
fu:	repeticiones 41		P= 0.000404582638470875	I= 11.271277967536058 bits
fv:	repeticiones 0		P= 0.0	I= 0 bits
fw:	repeticiones 0		P= 0.0	I= 0 bits
fx:	repeticiones 0		P= 0.0	I= 0 bits
fy:	repeticiones 0		P= 0.0	I= 0 bits
fz:	repeticiones 0		P= 0.0	I= 0 bits
f&:	repeticiones 0		P= 0.0	I= 0 bits
ga:	repeticiones 257		P= 0.0025360423923662164	I= 8.623205422960263 bits
